"name"	"mIDH2"	"mIDH1"	"distance"
"341"	"ABCD1"	0.648642332942344	0.656070686614355	0.0033
"342"	"ABCD2"	0.490212297312165	0.548445390740384	0.0409
"343"	"ABCD3"	0.623358911111475	0.639029666696972	0.0094
"344"	"ABCD4"	0.501812266294117	0.530038262195764	0.0197
"345"	"ABCE1"	0.67830696650504	0.650551799540734	-0.0218
"346"	"ABCF1"	0.582884144823192	0.576069761608274	-0.0059
"347"	"ABCF2"	0.514953086523366	0.487093415684693	-0.0198
"348"	"ABCF3"	0.610674188586064	0.614201718079817	0.001
"349"	"ABCG1"	0.501016587560022	0.48936083959837	-0.0082
"350"	"ABCG2"	0.759013840736693	0.761143224954266	-0.0019
"351"	"ABCG4"	0.306181475041462	0.262286786328319	-0.0284
"352"	"ABCG5"	0.395026984227706	0.451484968197523	0.0408
"353"	"ABCG8"	0.411644387244714	0.474264296565608	0.0449
