A	B	scaled_weight
cholesterol[r]	MAR03662	0.703452573929496
(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA[r]	MAR03663	0.706208840124599
cholesterol[r]	MAR03663	0.706208840124599
(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA[r]	MAR03664	0.708511164285318
cholesterol[r]	MAR03664	0.708511164285318
(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA[r]	MAR03665	0.706208840124595
cholesterol[r]	MAR03665	0.706208840124595
(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA[r]	MAR03666	0.706208840124604
cholesterol[r]	MAR03666	0.706208840124604
(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA[r]	MAR03667	0.706208840124592
cholesterol[r]	MAR03667	0.706208840124592
(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[r]	MAR03668	0.706208840124592
cholesterol[r]	MAR03668	0.706208840124592
(11Z,14Z,17Z)-eicosatrienoyl-CoA[r]	MAR03669	0.706208840124595
cholesterol[r]	MAR03669	0.706208840124595
13,16,19-docosatrienoyl-CoA[r]	MAR03670	0.706208840124595
cholesterol[r]	MAR03670	0.706208840124595
10,13,16,19-docosatetraenoyl-CoA[r]	MAR03671	0.502104405725684
cholesterol[r]	MAR03671	0.502104405725684
12,15,18,21-tetracosatetraenoyl-CoA[r]	MAR03672	0.502104405725695
cholesterol[r]	MAR03672	0.502104405725695
cholesterol[r]	MAR03673	0.702338813166807
linoleoyl-CoA[r]	MAR03673	0.702338813166807
cholesterol[r]	MAR03674	0.703466180156352
gamma-linolenoyl-CoA[r]	MAR03674	0.703466180156352
cholesterol[r]	MAR03675	0.703355676532598
dihomo-gamma-linolenoyl-CoA[r]	MAR03675	0.703355676532598
arachidonyl-CoA[r]	MAR03676	0.708724247888397
cholesterol[r]	MAR03676	0.708724247888397
(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA[r]	MAR03677	0.706208840124593
cholesterol[r]	MAR03677	0.706208840124593
(9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA[r]	MAR03678	0.706208840124594
cholesterol[r]	MAR03678	0.706208840124594
