node	agg	layer1	layer2	layer3	layer4
9436	218	0	100	140	0
9443	218	0	167	77	0
10766	218	0	140	99	0
15460	218	0	44	176	0
16982	218	0	24	194	0
5824	217	0	227	0	0
6457	217	0	129	109	0
6735	217	0	148	87	0
10014	217	0	76	143	0
10167	217	0	85	148	0
10660	217	0	90	137	0
10798	217	0	93	141	0
17343	217	0	25	194	0
60642	217	0	0	0	217
5840	216	0	135	94	0
6845	216	0	57	170	0
7526	216	0	211	18	0
8586	216	0	89	144	0
8637	216	0	98	133	0
9425	216	0	127	113	0
9466	216	0	85	147	0
9470	216	0	109	125	0
10685	216	0	96	143	0
10740	216	0	86	150	0
10768	216	0	129	113	0
13452	216	0	42	175	0
14607	216	0	37	179	0
16979	216	0	28	189	0
17338	216	0	35	188	0
17743	216	0	23	193	0
5937	215	0	177	66	0
5972	215	0	105	124	0
6232	215	0	113	122	0
7399	215	0	199	43	0
7476	215	0	116	115	0
7871	215	0	217	22	0
11115	215	0	140	87	0
12946	215	0	30	185	0
14365	215	0	30	186	0
17002	215	0	26	189	0
17335	215	0	24	193	0
17339	215	0	27	191	0
17553	215	0	30	185	0
17935	215	0	31	186	0
6468	214	0	163	65	0
6617	214	0	229	7	0
6645	214	0	208	34	0
7508	214	0	206	31	0
7701	214	0	216	18	0
7816	214	0	220	19	0
7838	214	0	120	113	0
10140	214	0	153	94	0
11404	214	0	149	85	0
12191	214	0	18	197	0
14605	214	0	30	184	0
17273	214	0	26	188	0
7681	213	0	165	72	0
7797	213	0	133	90	0
11018	213	0	105	128	0
11772	213	0	21	192	0
12078	213	0	36	177	0
13211	213	0	34	181	0
14599	213	0	29	184	0
16972	213	0	25	189	0
16992	213	0	16	198	0
17005	213	0	22	191	0
17276	213	0	33	183	0
17348	213	0	25	188	0
7546	212	0	210	20	0
7606	212	0	225	11	0
7659	212	0	160	74	0
7815	212	0	238	0	0
7876	212	0	183	52	0
10398	212	0	79	145	0
10886	212	0	72	154	0
11770	212	0	21	192	0
13264	212	0	33	179	0
17347	212	0	24	192	0
17361	212	0	21	193	0
17747	212	0	27	185	0
17749	212	0	36	176	0
6826	211	0	102	124	0
7466	211	0	212	27	0
7666	211	0	149	82	0
7731	211	0	165	56	0
7736	211	0	224	5	0
7737	211	0	191	25	0
7851	211	0	205	33	0
8702	211	0	103	127	0
9613	211	0	74	160	0
17111	211	0	27	184	0
17333	211	0	29	185	0
17344	211	0	23	189	0
18297	211	0	26	185	0
62147	211	0	0	0	211
6252	210	0	243	18	0
6343	210	0	107	115	0
6380	210	0	155	60	0
6868	210	0	162	76	0
7292	210	0	219	13	0
7452	210	0	167	54	0
7470	210	0	221	21	0
7798	210	0	138	88	0
8457	210	0	68	154	0
9258	210	0	72	151	0
9464	210	0	88	138	0
12635	210	0	34	177	0
12972	210	0	26	185	0
13056	210	0	45	168	0
14611	210	0	25	185	0
14612	210	0	16	197	0
