node	mux	agg	layer1	layer2	layer3	layer4
19989	13.4440871	6	3	0	0	0
21067	13.44086545	4	2	0	0	0
20326	13.42311295	2	1	0	0	0
19456	13.4201091	2	1	0	0	0
37252	13.38470635	4	2	0	0	0
19419	13.3723535	2	1	0	0	0
20941	13.3721571	2	1	0	0	0
37359	13.36372505	2	1	0	0	0
20395	13.3340290330206	2	1	0	0	0
20272	13.33330235	4	2	0	0	0
20075	13.3317651	2	1	0	0	0
35439	13.31757715	2	1	0	0	0
37466	13.3126069525063	8	4	0	0	0
20452	13.3038307	2	1	0	0	0
19569	13.2905217478032	2	1	0	0	0
19802	13.2882936	6	3	0	0	0
