"name"	"Double_NR"	"Double_R"	"distance"
"311"	"ABCA6"	0.453671575406286	0.438485565602823	-0.0211
"312"	"ABCA7"	0.57659296872792	0.572969229088364	-0.0125
"313"	"ABCA8"	0.61953191530499	0.610118269815473	-0.0164
"314"	"ABCA9"	0.423363054385955	0.431790020334949	-0.0045
"315"	"ABCA9-AS1"	0.300249468844714	0.269978531099368	-0.0324
"316"	"ABCB1"	0.825979979849891	0.82121765950237	-0.0124
"317"	"ABCB10"	0.502664064772806	0.45559275761499	-0.0436
"318"	"ABCB11"	0.798184746522064	0.793103196343047	-0.0127
"319"	"ABCB4"	0.74282240460693	0.728015771652953	-0.0198
"320"	"ABCB5"	0.394985137979763	0.447590163373474	0.0267
"321"	"ABCB6"	0.538806177436263	0.596918859461463	0.0311
"322"	"ABCB7"	0.471744937978486	0.499599861861306	0.0094
"323"	"ABCB8"	0.459519353650969	0.378721427672754	-0.0676
"324"	"ABCB9"	0.459248417995633	0.47718491691345	0.0024
"325"	"ABCC1"	0.790953691226307	0.790956337710943	-0.0091
"326"	"ABCC10"	0.448906186392165	0.478705432884788	0.0107
"327"	"ABCC11"	0.70080303888297	0.689097430497164	-0.0178
"328"	"ABCC12"	0.436523243987691	0.399414244763735	-0.0368
"329"	"ABCC13"	0.426089377897313	0.428770330286197	-0.0086
"330"	"ABCC2"	0.809343656129297	0.802131098921971	-0.0142
"331"	"ABCC3"	0.827388001624602	0.820260375480893	-0.014
"332"	"ABCC4"	0.773601710948009	0.767275596121604	-0.0137
"333"	"ABCC5"	0.673283675298603	0.655767761462421	-0.022
"334"	"ABCC5-AS1"	0.287862641377981	0.277073195387641	-0.0187
"335"	"ABCC6"	0.489058780163457	0.444040668896706	-0.0422
"336"	"ABCC6P1"	0.456956377388127	0.382190353343686	-0.0634
"337"	"ABCC6P2"	0.429138459728473	0.379763968986895	-0.0455
"338"	"ABCC8"	0.487974041339847	0.4815098126126	-0.0148
"339"	"ABCC9"	0.422407792717778	0.457050825707269	0.0141
"340"	"ABCD1"	0.712006567512453	0.685603915310055	-0.0281
"341"	"ABCD2"	0.62870045680878	0.626540812455286	-0.0113
"342"	"ABCD3"	0.69594559799734	0.674385845972169	-0.0248
"343"	"ABCD4"	0.631927484366521	0.637626138417012	-0.0057
"344"	"ABCE1"	0.726523437453327	0.722035310181643	-0.0125
"345"	"ABCF1"	0.637372459455125	0.622304534893833	-0.0204
"346"	"ABCF2"	0.57431171509081	0.558163308950481	-0.0214
