""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"ID"
"CFD"	1.04471595428571	9.6738618492823	2.99894916701711	0.0028720873811607	0.0543491074568106	-1.9089970086289	"CFD"
"MYCN"	0.939779263809522	7.12558639712919	2.9962630464824	0.00289696222652054	0.0546385855509726	-1.91655776312635	"MYCN"
"CEACAM6"	-0.76184533047619	6.11614599043062	-2.96525213377637	0.00319877964604269	0.0574604427597765	-2.00337652610196	"CEACAM6"
"GNAI1"	-0.763072900952382	6.53410198564593	-2.90264564495671	0.00389742900438026	0.0656817480692595	-2.17601567122423	"GNAI1"
"CLU"	0.905051989523812	7.49240158133971	2.88905976826713	0.0040663187923844	0.0669508672438762	-2.21301295898916	"CLU"
"TRIB1"	0.78319197238095	9.53393310287081	2.87181882834722	0.00429023671354109	0.0693303833804027	-2.25972411198942	"TRIB1"
"PALM2-AKAP2; AKAP2"	-0.840368098095238	8.14604770334928	-2.78510283185817	0.00559598907299391	0.0821906262654695	-2.49059323933383	"PALM2-AKAP2; AKAP2"
"CYTL1"	-0.874636019999999	7.05683372248804	-2.76911595555441	0.00587276340852201	0.0844261536189127	-2.53241315032049	"CYTL1"
"NEURL1B"	-0.751930739999998	6.82865348803828	-2.74761507551547	0.00626452113187327	0.0879084306414589	-2.58829176289299	"NEURL1B"
"DDIT4"	0.768747255238097	8.68958098803828	2.73835906185175	0.00644032452998855	0.0890483275723728	-2.61221808976454	"DDIT4"
"TRH"	-1.02490970285714	6.29868518660287	-2.6993269816017	0.00723170340990322	0.0958092701462567	-2.71225839972648	"TRH"
"CD52"	-0.761119319819049	8.52344853489713	-2.67449265147082	0.00777977411112642	0.100489126521003	-2.77518872702631	"CD52"
"ECRP"	0.885937501904762	7.7717836291866	2.67043987435655	0.00787267805054652	0.10113386985643	-2.78540523665132	"ECRP"
"ST18"	-0.764320677142853	5.77683971770335	-2.65360308649781	0.00826940624376891	0.104085636591548	-2.8276884579597	"ST18"
"SLC40A1"	0.821608038095237	8.82356873444976	2.61596654982418	0.00922185720842291	0.111118239232218	-2.92127351422704	"SLC40A1"
"PTX3"	0.796776122857144	7.08163807655502	2.61061342188047	0.00936502625152156	0.111845747014672	-2.93447942362189	"PTX3"
"HIST1H2BJ; HIST1H2BG"	-0.873402206666663	7.152120215311	-2.58010789017006	0.0102195269724077	0.117731310276149	-3.00923599520936	"HIST1H2BJ; HIST1H2BG"
