"source"	"target"
178321	893230
306483	893231
306711	893336
306724	893337
286005	893340
286005	893394
306934	893411
286012	893428
286012	893430
286027	893466
286026	893467
286068	893468
286074	893603
311160	893684
311247	893686
311247	893688
311247	893691
311247	893693
311247	893695
311247	893698
311247	893699
311247	893700
311297	893716
311297	893717
311297	893719
311297	893720
311297	893723
311297	893724
311297	893725
311297	893727
311297	893728
311297	893729
311297	893740
333623	893742
311394	893801
308428	893962
308428	894142
308428	894153
308512	894154
603	894686
332262	894779
332262	894782
332275	894784
332262	894799
332265	894803
332266	894804
332288	894806
330899	894880
332567	894884
332653	894903
332653	894906
332680	894909
332680	894910
332680	894911
332680	894912
332680	894913
330904	894922
332854	894932
330923	894969
330948	894974
333030	894975
333030	894976
333030	894977
333030	894978
284660	894983
333358	895040
333358	895041
333468	895076
333561	895113
333593	895122
333593	895123
333593	895126
333593	895129
333623	895132
333623	895146
331027	895161
331076	895179
331076	895185
331076	895186
807235	895189
331138	895215
337950	895474
337974	895475
337979	895476
337984	895477
337987	895478
337990	895479
337992	895480
338000	895481
338003	895482
338009	895483
338017	895484
338022	895485
338209	895584
338652	895668
338674	895669
338756	895695
339053	895733
339161	895817
339161	895818
339209	895833
339209	895842
339209	895845
339209	895848
339209	895853
339209	895856
339229	895862
339286	895967
339320	895969
331295	895990
339713	896107
339883	896188
339942	896240
339971	896250
339973	896251
339987	896257
331321	896261
339997	896263
340031	896271
340031	896272
340031	896274
340204	896320
340217	896321
340281	896336
340281	896338
340281	896344
340281	896345
340281	896346
340281	896348
340644	896429
332663	896496
340677	896498
340677	896499
340677	896500
340677	896502
340677	896503
340856	896541
340856	896544
340926	896559
37488	896631
341528	896668
341528	896669
341628	896673
341628	896680
341703	896686
341703	896781
341729	896790
341814	896794
341814	896797
331608	896889
331614	896891
339883	896911
376037	897028
379798	897618
708259	898039
37746	898310
394362	898318
395932	898388
397395	898428
397395	898429
397395	898430
397395	898431
397395	898432
397395	898435
397741	898537
692008	899226
407366	899373
407366	899380
407366	899434
407366	899442
348275	899596
348245	899597
367749	899703
409294	899708
412272	899894
412927	900157
412946	900158
412954	900159
412929	900162
412946	900163
412954	900164
412985	900204
412992	900205
413006	900206
416682	900572
643064	900679
417864	900756
417885	900757
418717	900875
418722	900876
418596	900881
350130	901139
354844	901532
239130	901630
355954	901732
362665	902236
362665	902238
362665	902239
362665	902240
362665	902241
362665	902243
362665	902244
362665	902246
362665	902248
362665	902249
362665	902251
362665	902252
362665	902254
